BORR - Stable Isotope Database - Precipitation,,,,,,
Start Datetime,End Datetime,Bulk,Type,δ¹⁸O,δD,Location
3/15/2021 18:00:00,3/15/2021 18:00:00,0,Stream,-7.49,-47.10,NDC
3/15/2021 0:00:00,3/15/2021 0:00:00,0,Stream,-7.62,-48.38,SDC
3/15/2021 18:00:00,3/15/2021 18:00:00,0,Stream,-7.56,-47.53,SDC
3/18/2021 12:00:00,3/18/2021 12:00:00,0,Stream,-7.68,-48.21,NDC
3/18/2021 19:00:00,3/18/2021 19:00:00,0,Stream,-7.68,-47.98,NDC
3/18/2021 21:00:00,3/18/2021 21:00:00,0,Stream,-7.66,-47.87,NDC
3/18/2021 17:00:00,3/18/2021 17:00:00,0,Stream,-7.64,-47.77,NDC
3/18/2021 20:00:00,3/18/2021 20:00:00,0,Stream,-7.58,-47.73,SDC
3/18/2021 12:00:00,3/18/2021 12:00:00,0,Stream,-7.55,-47.86,SDC
3/19/2021 18:00:00,3/19/2021 18:00:00,0,Stream,-7.85,-48.99,NDC
3/19/2021 10:00:00,3/19/2021 10:00:00,0,Stream,-7.80,-48.77,NDC
3/19/2021 12:00:00,3/19/2021 12:00:00,0,Stream,-7.76,-48.80,NDC
3/19/2021 1:00:00,3/19/2021 1:00:00,0,Stream,-7.63,-48.04,NDC
3/19/2021 4:00:00,3/19/2021 4:00:00,0,Stream,-5.14,-41.26,NDC
3/19/2021 20:00:00,3/19/2021 20:00:00,0,Stream,-7.69,-48.49,SDC
3/19/2021 2:00:00,3/19/2021 2:00:00,0,Stream,-7.63,-47.96,SDC
3/19/2021 12:00:00,3/19/2021 12:00:00,0,Stream,-7.61,-48.26,SDC
3/19/2021 10:00:00,3/19/2021 10:00:00,0,Stream,-7.45,-47.67,SDC
3/20/2021 12:00:00,3/20/2021 12:00:00,0,Stream,-7.87,-49.18,NDC
3/20/2021 0:00:00,3/20/2021 0:00:00,0,Stream,-7.85,-49.10,NDC
3/21/2021 15:00:00,3/21/2021 15:00:00,0,Stream,-7.80,-49.38,NDC
3/21/2021 6:00:00,3/21/2021 6:00:00,0,Stream,-7.61,-48.50,NDC
3/22/2021 9:00:00,3/22/2021 9:00:00,0,Stream,-7.79,-49.17,NDC
