Optimization Results - Kumaraswamy,,,,,,,,,,,
"NDC (varying a[0.05,1], b=1)",,,,,,"SDC (varying a[0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
"NDC (a=1, varying b[0.05,1])",,,,,,"SDC (a=1, varying b[0.05,1])",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,1.000,0.050,-7.500,200.000,7.308,1,1.000,0.050,-7.500,100.000,5.597
2,1.000,0.050,-7.500,200.000,7.308,2,1.000,0.050,-7.500,100.000,5.597
3,1.000,0.050,-7.500,200.000,7.308,3,1.000,0.050,-7.500,100.000,5.597
4,1.000,0.050,-7.500,200.000,7.308,4,1.000,0.050,-7.500,100.000,5.597
5,1.000,1.000,-7.494,199.992,2.598,5,1.000,1.000,-7.500,99.914,1.001
6,1.000,1.000,-7.494,199.992,2.598,6,1.000,1.000,-7.500,99.914,1.001
7,1.000,1.000,-7.494,199.992,2.598,7,1.000,1.000,-7.500,99.914,1.001
8,1.000,1.000,-7.494,199.992,2.598,8,1.000,1.000,-7.500,99.914,1.001
9,1.000,1.000,-7.494,199.979,2.598,9,1.000,1.000,-7.500,99.901,1.001
10,1.000,1.000,-7.494,199.979,2.598,10,1.000,1.000,-7.500,99.901,1.001
11,1.000,1.000,-7.494,199.979,2.598,11,1.000,1.000,-7.500,99.901,1.001
12,1.000,1.000,-7.494,199.979,2.598,12,1.000,1.000,-7.500,99.901,1.001
13,1.000,1.000,-7.494,199.914,2.597,13,1.000,1.000,-7.500,99.834,1.000
14,1.000,1.000,-7.494,199.914,2.597,14,1.000,1.000,-7.500,99.834,1.000
15,1.000,1.000,-7.494,199.914,2.597,15,1.000,1.000,-7.500,99.834,1.000
16,1.000,1.000,-7.494,199.914,2.597,16,1.000,1.000,-7.500,99.834,1.000
17,1.000,1.000,-7.494,199.590,2.593,17,1.000,1.000,-7.500,99.503,0.996
18,1.000,1.000,-7.494,199.590,2.593,18,1.000,1.000,-7.500,99.503,0.996
19,1.000,1.000,-7.494,199.590,2.593,19,1.000,1.000,-7.500,99.503,0.996
20,1.000,1.000,-7.494,199.590,2.593,20,1.000,1.000,-7.500,99.503,0.996
21,1.000,1.000,-7.492,197.968,2.572,21,1.000,1.000,-7.499,97.852,0.974
22,1.000,1.000,-7.492,197.968,2.572,22,1.000,1.000,-7.499,97.852,0.974
23,1.000,1.000,-7.492,197.968,2.572,23,1.000,1.000,-7.499,97.852,0.974
24,1.000,1.000,-7.492,197.968,2.572,24,1.000,1.000,-7.499,97.852,0.974
25,1.000,1.000,-7.482,189.793,2.462,25,1.000,1.000,-7.495,89.757,0.879
26,1.000,1.000,-7.482,189.793,2.462,26,1.000,1.000,-7.495,89.757,0.879
27,1.000,1.000,-7.482,189.793,2.462,27,1.000,1.000,-7.495,89.757,0.879
28,1.000,1.000,-7.482,189.793,2.462,28,1.000,1.000,-7.495,89.757,0.879
29,1.000,1.000,-7.430,147.240,1.817,29,1.000,0.937,-7.471,45.979,0.950
30,1.000,1.000,-7.430,147.240,1.817,30,1.000,0.974,-7.485,71.200,0.768
31,1.000,1.000,-7.430,147.240,1.817,31,1.000,0.974,-7.485,71.200,0.768
32,1.000,1.000,-7.430,147.240,1.817,32,1.000,0.974,-7.485,71.200,0.768
33,1.000,1.000,-7.249,0.000,2.560,33,1.000,0.974,-7.485,71.200,0.768
34,1.000,1.000,-7.360,90.577,0.774,34,1.000,0.964,-7.483,67.831,0.767
35,1.000,1.000,-7.360,90.577,0.774,35,1.000,0.964,-7.483,67.831,0.767
36,1.000,1.000,-7.360,90.577,0.774,36,1.000,0.964,-7.483,67.831,0.767
37,1.000,1.000,-7.360,90.577,0.774,37,1.000,0.964,-7.483,67.831,0.767
38,1.000,1.000,-7.249,0.000,2.560,38,1.000,0.967,-7.484,69.047,0.766
39,1.000,1.000,-7.334,69.693,0.591,39,1.000,0.967,-7.484,69.047,0.766
40,1.000,1.000,-7.334,69.693,0.591,40,1.000,0.967,-7.484,69.047,0.766
41,1.000,1.000,-7.334,69.693,0.591,41,1.000,0.967,-7.484,69.047,0.766
42,1.000,1.000,-7.334,69.693,0.591,42,1.000,0.968,-7.484,69.248,0.767
43,1.000,1.000,-7.339,73.614,0.587,43,1.000,0.967,-7.484,69.068,0.766
44,1.000,1.000,-7.339,73.614,0.587,44,1.000,0.967,-7.484,69.068,0.766
45,1.000,1.000,-7.339,73.614,0.587,45,1.000,0.967,-7.484,69.068,0.766
46,1.000,1.000,-7.339,73.614,0.587,46,1.000,0.967,-7.484,69.068,0.766
47,1.000,1.000,-7.338,72.293,0.586,47,1.000,0.970,-7.484,69.595,0.767
48,1.000,1.000,-7.338,72.293,0.586,48,1.000,0.967,-7.484,69.121,0.767
49,1.000,1.000,-7.338,72.293,0.586,49,1.000,0.967,-7.484,69.073,0.766
50,1.000,1.000,-7.338,72.293,0.586,,,,,,
51,1.000,1.000,-7.337,72.249,0.586,,,,,,
52,1.000,1.000,-7.337,72.249,0.586,,,,,,
53,1.000,1.000,-7.337,72.249,0.586,,,,,,
54,1.000,1.000,-7.337,72.249,0.586,,,,,,
"NDC (Varying a [0.05,1], b=1)",,,,,,"SDC (Varying a [0.05,1], b=1)",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,0.050,1.000,-7.090,100.000,1.970,1,0.050,1.000,-7.090,100.000,2.177
2,0.050,1.000,-7.090,100.000,1.970,2,0.050,1.000,-7.090,100.000,2.177
3,0.050,1.000,-7.090,100.000,1.970,3,0.050,1.000,-7.090,100.000,2.177
4,0.990,1.000,-7.090,100.001,0.922,4,0.990,1.000,-7.090,100.001,1.034
5,0.990,1.000,-7.090,100.001,0.922,5,0.990,1.000,-7.090,100.001,1.034
6,0.990,1.000,-7.090,100.001,0.922,6,0.990,1.000,-7.090,100.001,1.034
7,0.602,1.000,-7.090,99.991,0.567,7,0.706,1.000,-7.090,99.990,0.697
8,0.602,1.000,-7.090,99.991,0.567,8,0.706,1.000,-7.090,99.990,0.697
9,0.602,1.000,-7.090,99.991,0.567,9,0.706,1.000,-7.090,99.990,0.697
10,0.760,1.000,-7.090,99.993,0.515,10,0.669,1.000,-7.090,99.985,0.696
11,0.760,1.000,-7.090,99.993,0.515,11,0.688,1.000,-7.090,99.988,0.695
12,0.760,1.000,-7.090,99.993,0.515,12,0.688,1.000,-7.090,99.988,0.695
13,0.701,1.000,-7.090,99.993,0.488,13,0.688,1.000,-7.090,99.988,0.695
14,0.701,1.000,-7.090,99.993,0.488,14,0.687,1.000,-7.090,99.984,0.695
15,0.701,1.000,-7.090,99.993,0.488,15,0.687,1.000,-7.090,99.984,0.695
16,0.702,1.000,-7.090,99.995,0.488,16,0.687,1.000,-7.090,99.984,0.695
17,0.702,1.000,-7.090,99.995,0.488,17,0.686,1.000,-7.090,99.972,0.695
18,0.702,1.000,-7.090,99.995,0.488,18,0.686,1.000,-7.090,99.972,0.695
19,0.702,1.000,-7.090,99.998,0.488,19,0.686,1.000,-7.090,99.972,0.695
20,0.702,1.000,-7.090,99.998,0.488,20,0.685,1.000,-7.090,99.899,0.694
21,0.702,1.000,-7.090,99.998,0.488,21,0.685,1.000,-7.090,99.899,0.694
22,0.703,1.000,-7.090,100.016,0.488,22,0.685,1.000,-7.090,99.899,0.694
23,0.703,1.000,-7.090,100.016,0.488,23,0.680,1.000,-7.090,99.473,0.693
24,0.703,1.000,-7.090,100.016,0.488,24,0.680,1.000,-7.090,99.473,0.693
25,0.704,1.000,-7.090,100.090,0.488,25,0.680,1.000,-7.090,99.473,0.693
26,0.704,1.000,-7.090,100.090,0.488,26,0.676,1.000,-7.090,98.464,0.692
27,0.704,1.000,-7.090,100.090,0.488,27,0.676,1.000,-7.090,98.464,0.692
28,0.705,1.000,-7.090,100.242,0.487,28,0.676,1.000,-7.090,98.464,0.692
29,0.705,1.000,-7.090,100.242,0.487,29,0.675,1.000,-7.090,96.346,0.688
30,0.705,1.000,-7.090,100.242,0.487,30,0.675,1.000,-7.090,96.346,0.688
31,0.706,1.000,-7.090,100.716,0.487,31,0.675,1.000,-7.090,96.346,0.688
32,0.706,1.000,-7.090,100.716,0.487,32,0.688,1.000,-7.090,90.973,0.678
33,0.706,1.000,-7.090,100.716,0.487,33,0.688,1.000,-7.090,90.973,0.678
34,0.704,1.000,-7.090,101.887,0.486,34,0.688,1.000,-7.090,90.973,0.678
35,0.704,1.000,-7.090,101.887,0.486,35,0.734,1.000,-7.090,80.279,0.664
36,0.704,1.000,-7.090,101.887,0.486,36,0.734,1.000,-7.090,80.279,0.664
37,0.691,1.000,-7.090,104.973,0.483,37,0.734,1.000,-7.090,80.279,0.664
38,0.691,1.000,-7.090,104.973,0.483,38,0.758,1.000,-7.090,79.401,0.652
39,0.691,1.000,-7.090,104.973,0.483,39,0.758,1.000,-7.090,79.401,0.652
40,0.649,1.000,-7.090,113.331,0.474,40,0.758,1.000,-7.090,79.401,0.652
41,0.649,1.000,-7.090,113.331,0.474,41,0.898,1.000,-7.090,68.798,0.623
42,0.649,1.000,-7.090,113.331,0.474,42,0.898,1.000,-7.090,68.798,0.623
43,0.486,1.000,-7.090,142.858,0.474,43,0.898,1.000,-7.090,68.798,0.623
44,0.567,1.000,-7.090,128.118,0.461,44,0.893,1.000,-7.090,71.999,0.622
45,0.567,1.000,-7.090,128.118,0.461,45,0.893,1.000,-7.090,71.999,0.622
46,0.567,1.000,-7.090,128.118,0.461,46,0.893,1.000,-7.090,71.999,0.622
47,0.529,1.000,-7.090,135.056,0.462,47,0.895,1.000,-7.090,70.844,0.621
48,0.552,1.000,-7.090,130.806,0.461,48,0.895,1.000,-7.090,70.844,0.621
49,0.552,1.000,-7.090,130.806,0.461,49,0.895,1.000,-7.090,70.844,0.621
50,0.552,1.000,-7.090,130.806,0.461,50,0.898,1.000,-7.090,70.417,0.621
51,0.552,1.000,-7.090,130.900,0.461,51,0.898,1.000,-7.090,70.417,0.621
52,0.552,1.000,-7.090,130.900,0.461,52,0.898,1.000,-7.090,70.417,0.621
53,0.552,1.000,-7.090,130.900,0.461,53,0.903,1.000,-7.090,70.014,0.621
54,0.552,1.000,-7.090,130.777,0.461,54,0.899,1.000,-7.090,70.346,0.621
55,0.552,1.000,-7.090,130.777,0.461,55,0.899,1.000,-7.090,70.346,0.621
56,0.552,1.000,-7.090,130.777,0.461,56,0.899,1.000,-7.090,70.346,0.621
57,0.553,1.000,-7.090,130.440,0.461,57,0.904,1.000,-7.090,69.973,0.621
58,0.553,1.000,-7.090,130.440,0.461,58,0.900,1.000,-7.090,70.304,0.621
59,0.553,1.000,-7.090,130.440,0.461,59,0.900,1.000,-7.090,70.304,0.621
60,0.553,1.000,-7.090,130.312,0.461,60,0.900,1.000,-7.090,70.304,0.621
,,,,,,61,0.904,1.000,-7.090,70.013,0.621
,,,,,,62,0.900,1.000,-7.090,70.275,0.621
,,,,,,63,0.900,1.000,-7.090,70.275,0.621
,,,,,,64,0.900,1.000,-7.090,70.275,0.621
,,,,,,65,0.904,1.000,-7.090,69.998,0.621
,,,,,,66,0.900,1.000,-7.090,70.247,0.621
,,,,,,67,0.900,1.000,-7.090,70.269,0.621
"NDC (a=1, varying b [0.05-1])",,,,,,"SDC (a=1, varying b [0.05-1])",,,,,
iter,a,b,C_old,S_init,RMSE,iter,a,b,C_old,S_init,RMSE
1,1.000,0.050,-7.090,100.000,6.801,1,1.000,0.050,-7.090,100.000,5.584
2,1.000,0.050,-7.090,100.000,6.801,2,1.000,0.050,-7.090,100.000,5.584
3,1.000,0.050,-7.090,100.000,6.801,3,1.000,0.050,-7.090,100.000,5.584
4,1.000,0.990,-7.090,99.985,0.970,4,1.000,0.990,-7.090,99.906,1.070
5,1.000,0.990,-7.090,99.985,0.970,5,1.000,0.990,-7.090,99.906,1.070
6,1.000,0.990,-7.090,99.985,0.970,6,1.000,0.990,-7.090,99.906,1.070
